,message,sentiment
25,"['mohammed', 'ali', 'khan', 'teri', 'puncture', 'shop', 'open', 'hai', 'ya', 'nahi']",0.0
26,"['mohammed', 'ali', 'khan', 'ya', 'isme', 'bhi', 'modi', 'ka', 'haath', 'hain', 'vaise', 'hi', 'jaise', 'tere', 'paida', 'hone', 'main', 'baap', 'banne', 'main', 'aur', 'mamu', 'banne', 'main']",0.16666666666666666
27,"['please', 'young', 'man', 'die', 'pls', 'dont', 'make', 'comment']",0.1
28,"['mohammed', 'ali', 'khan', 'one', 'relate', 'lock', 'successful', 'could', 'survive', 'lock', 'till', 'death', 'even', 'doesnt', 'work']",0.75
29,"['manish', 'gupta', 'seriouslytumlog', 'zara', 'v', 'nai', 'hichakte', 'kuch', 'kehne', 'se', 'pehlewat', 'come', 'people', 'like', 'youno', 'humanity', 'leave']",0.0
30,"['priyesh', 'pandey', 'speculate', 'even', 'fascinate', 'manager', 'commit', 'suicide', 'day', 'ago', 'coincidence', 'something', 'sinister', 'involve', 'time', 'tell', 'maybe']",-0.5
31,"['mohammed', 'ali', 'khan', 'yep', 'thats', 'want', 'say', 'let', 'wait', 'detail', 'instead', 'baseless', 'speculation']",0.0
32,"['arpita', 'banerjee', 'bangali', 'didi', 'go', 'find', 'attention', 'somewhere', 'else']",0.0
33,"['mohammed', 'ali', 'khan', 'dear', 'ex', 'manager', 'present', 'manager', 'fiance', 'scope', 'link']",0.0
34,"['mohammed', 'ali', 'khan', 'bhaiits', 'time', 'pray']",0.0
35,"['prabir', 'banerjee', 'pray', 'well']",0.0
36,"['simpy', 'sathoo', 'shock']",0.0
37,"['yasmin', 'felix', 'webb', 'rip']",0.0
38,"['jithin', 'raj', 'agree']",0.0
39,"['murdertook', 'bribe', 'n', 'declare', 'murder']",0.0
40,"['raghani', 'upadhayay', 'u', 'r', 'right']",0.2857142857142857
41,"['ritwik', 'dasgupta', 'shameful', 'comment', 'try', 'type', 'om', 'shanti', 'without', 'insult', 'person', 'die']",0.0
42,"['stupidity', 'know', 'bind']",-0.6
43,"['ritwik', 'dasgupta', 'get', 'positivity', 'lifed', 'man', 'die', 'n', 'u', 'rtrying', 'b', 'professor']",0.0
44,"['die', 'sure', 'sure', 'suicide']",0.5
45,"['ritwik', 'dasgupta']",0.0
46,"['vardhman', 'patel', 'worst', 'may', 'go', 'suicide', 'solution', 'age', 'people', 'still', 'struggle', 'earn', 'time', 'food', 'whatever', 'case', 'may', 'need', 'fight']",-1.0
47,"['lalbiaksanga', 'molshoy', 'molshoy']",0.0
48,"['lalbiaksanga', 'molshoy', 'molshoy', 'wt', 'r', 'u', 'blame', 'others', 'yr', 'whole', 'lifeu', 'r', 'bear', 'go', 'helll']",0.2
49,"['shweta', 'jha', 'donate', 'kerala', 'flood', 'time', 'alson', 'many']",0.5
