Name,Comment,tone
Technical Upgrader,"<a href=""https://www.youtube.com/watch?v=beplZQ43WIo&amp;t=2m01s"">2:01</a> not expecting this from farmers.....they are not patriots....shame on themðŸ˜ŸðŸ˜ŸðŸ˜ŸðŸ˜Ÿ",{'document_tone': {'tones': []}}
mayur shinde,Goli ya chalani chahiye,"{'document_tone': {'tones': [{'score': 0.537298, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
Carpe Diem,"Guys please know that the Indian government did this exact same thing in 1984. Sikhs were fighting the corrupt government then too, they were fighting for INDIA. They were NOT asking for Khalistan. But the government maligned their movement like they tried to do with this one, calling them terrorists and Khalistanis and turned Hindus against Sikhs. And since there was no social media at that time, the public was successfully fooled by the government (Congress at the time). BJP is the same as Congress. Remember that in the next elections people. Vote for someone different than these two if you really want to see change. If you really want to see a true democratic India with a government that is FOR its people, and not looting its people in broad daylight. Please realize this before itâ€™s too late, before India is bought by goons.","{'document_tone': {'tones': [{'score': 0.584001, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Guys please know that the Indian government did this exact same thing in 1984.', 'tones': [{'score': 0.751512, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 1, 'text': 'Sikhs were fighting the corrupt government then too, they were fighting for INDIA.', 'tones': []}, {'sentence_id': 2, 'text': 'They were NOT asking for Khalistan.', 'tones': []}, {'sentence_id': 3, 'text': 'But the government maligned their movement like they tried to do with this one, calling them terrorists and Khalistanis and turned Hindus against Sikhs.', 'tones': [{'score': 0.546388, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 4, 'text': 'And since there was no social media at that time, the public was successfully fooled by the government (Congress at the time).', 'tones': []}, {'sentence_id': 5, 'text': 'BJP is the same as Congress.', 'tones': []}, {'sentence_id': 6, 'text': 'Remember that in the next elections people.', 'tones': [{'score': 0.585007, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.801827, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 7, 'text': 'Vote for someone different than these two if you really want to see change.', 'tones': [{'score': 0.681699, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.821444, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 8, 'text': 'If you really want to see a true democratic India with a government that is FOR its people, and not looting its people in broad daylight.', 'tones': [{'score': 0.589295, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 9, 'text': 'Please realize this before itâ€™s too late, before India is bought by goons.', 'tones': [{'score': 0.566386, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}]}"
Zentrux C-Ops,Bohot acha hoa khuda kare Hindustan tabah ho barbaad hojae ameen,{'document_tone': {'tones': []}}
Rajeev Tripathi,You call him a farmer..!!!,"{'document_tone': {'tones': [{'score': 0.521137, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
Ashmeet Kaushal,Waittt the tricolour flag wasn&#39;t removed,{'document_tone': {'tones': []}}
Raj Naik,Are chutiyo indian flag was not replaced show the other side of the video dont confuse people,"{'document_tone': {'tones': [{'score': 0.58393, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
Keval M,"Before :- Sikh community was very generous, peace loving and kind<br><br>After:- Nevermind ðŸ˜‘","{'document_tone': {'tones': [{'score': 0.62155, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
Imraan ali,Free KHLISTAAN âœŒï¸�,{'document_tone': {'tones': []}}
Devaraj Devadiga,They are not farmers only terrorists....,"{'document_tone': {'tones': [{'score': 0.546717, 'tone_id': 'fear', 'tone_name': 'Fear'}, {'score': 0.620279, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
samriddi shivani,Nice voice ðŸ‘ŒðŸ‘�ðŸ‘�ðŸ˜�,"{'document_tone': {'tones': [{'score': 0.901103, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
varma,They are Khalisthan supporters with their flags..They are not true farmers,{'document_tone': {'tones': []}}
Dk,In sikh logo ko kisi cheez ki sharam nahi khalistani chutiye,{'document_tone': {'tones': []}}
Manoj Kumar,NDTV agar gandu hai to likes please,{'document_tone': {'tones': []}}
Manoj Kumar,Bhaiya bhosdi vale Ka dikha rhe,{'document_tone': {'tones': []}}
Dilawar Khan Vlogs,Watch this video carefully! Try to understand what the BJP wanted to do but failed to do so! Share this to everyone. Make people aware of this. YouTube link:  @,"{'document_tone': {'tones': [{'score': 0.579657, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.571918, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Watch this video carefully!', 'tones': [{'score': 0.511796, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, {'sentence_id': 1, 'text': 'Try to understand what the BJP wanted to do but failed to do so!', 'tones': [{'score': 0.664186, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 2, 'text': 'Share this to everyone.', 'tones': [{'score': 0.716714, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, {'sentence_id': 3, 'text': 'Make people aware of this.', 'tones': []}, {'sentence_id': 4, 'text': 'YouTube link:  @', 'tones': [{'score': 0.982476, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}]}"
Mr. India,à¤†à¤œ à¤¸à¥‡ à¤œà¤¯ à¤œà¤µà¤¾à¤¨ à¤¬à¤¸à¥¤ à¤œà¤¯ à¤œà¤µà¤¾à¤¨ à¤œà¤¯ à¤•à¤¿à¤¸à¤¾à¤¨ à¤¬à¥‹à¤²à¤¾ à¤¨à¤¹à¥€ à¤œà¤¾à¤�à¤—à¤¾ à¤…à¤¬à¥¤ à¤¦à¥‡à¤¶ à¤•à¥€ à¤¨à¤¾à¤• à¤•à¤¾à¤Ÿ à¤¦à¥€ à¤¹à¥�à¥œà¤¦à¤‚à¤—à¤¬à¤¾à¥›à¥‹à¤‚ à¤¨à¥‡,{'document_tone': {'tones': []}}
Arnab Das,Godi media shame on uðŸ˜‚ðŸ¤£ðŸ¤£,{'document_tone': {'tones': []}}
Adventure tales,Peaceful protest.,{'document_tone': {'tones': []}}
Amardeep661,Flag say etni tension mat lo....jo indian flag hai wo British ka banaya hua he...bharat ka asli flag kesari color ka hona chahiye representing sanatan dharms...so kesri flag they hoisted is bharat real color,{'document_tone': {'tones': []}}
Pinda Sandhu,godi media,{'document_tone': {'tones': []}}
kumar sanu fan site,"beta males , simps and  women are followers of ndtv",{'document_tone': {'tones': []}}
PRINCE KHAROUD,We did it. ðŸ¤©,"{'document_tone': {'tones': []}, 'sentences_tone': [{'sentence_id': 0, 'text': 'We did it.', 'tones': []}, {'sentence_id': 1, 'text': 'ðŸ¤©', 'tones': []}]}"
PK pk,"I think they are terrarist, pakistan Khalistan","{'document_tone': {'tones': [{'score': 0.801827, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
amit singh,Gaddar he ye news channel,{'document_tone': {'tones': []}}
Fateh singh,These NDTV is a jaichand <br>Boycott this channel,{'document_tone': {'tones': []}}
Shefali Bhatt,Shame!!,"{'document_tone': {'tones': [{'score': 0.931034, 'tone_id': 'fear', 'tone_name': 'Fear'}, {'score': 1.0, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
ANIRUDH JOHARI,If I would have a sniper gun I should have shot their flags and their heads fake farmers ðŸ˜¡,"{'document_tone': {'tones': [{'score': 0.512575, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.635961, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
ashutosh raghuwanshi,Government back this bill. I support to farmers,"{'document_tone': {'tones': [{'score': 0.516821, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Government back this bill.', 'tones': []}, {'sentence_id': 1, 'text': 'I support to farmers', 'tones': [{'score': 0.573718, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}]}"
Green,"What&#39;s the big deal its just a flag, it could have been taken off by the police later.  It&#39;s not like farmer&#39;s damaged the Red fort building. Why is the government making an issue of a trivial issue. They&#39;re acting like these farmer&#39;s are an invading army..lol!!","{'document_tone': {'tones': [{'score': 0.908434, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'What&#39;s the big deal its just a flag, it could have been taken off by the police later.', 'tones': [{'score': 0.822231, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 1, 'text': 'It&#39;s not like farmer&#39;s damaged the Red fort building.', 'tones': [{'score': 0.552787, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 2, 'text': 'Why is the government making an issue of a trivial issue.', 'tones': [{'score': 0.932977, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 3, 'text': 'They&#39;re acting like these farmer&#39;s are an invading army..lol!!', 'tones': []}]}"
Sachin Vashisht,Punjab is on the way to Kashmir,{'document_tone': {'tones': []}}
Ankit Rawat,Sharamnak,{'document_tone': {'tones': []}}
Shalu Patel,Kis kaam ki security police wale,{'document_tone': {'tones': []}}
shreya sarkar,When did India&#39;s flag changed?? ðŸ¤”ðŸ¤”ðŸ˜‚ And what about other states farmers?? Oops only  some states farmers are feeding us free of costðŸ˜‚ðŸ˜‚,"{'document_tone': {'tones': [{'score': 0.592616, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.534455, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
Exe Doctor Urvi,Superb this Is called unity of our nation ðŸ‘�ðŸ™�ðŸ�» Jai Jawan Tey Jai KiSan â�¤ï¸�â�¤ï¸�â�¤ï¸�,{'document_tone': {'tones': []}}
Vijaya Kumar,"strong message , what type of message is this ? shame on NDTV","{'document_tone': {'tones': [{'score': 0.649325, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'strong message , what type of message is this ?', 'tones': []}, {'sentence_id': 1, 'text': 'shame on NDTV', 'tones': [{'score': 0.594766, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}]}"
BankaiKiller,The news reporter has a cute voice! Show the reporter too,"{'document_tone': {'tones': [{'score': 0.765385, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'The news reporter has a cute voice!', 'tones': [{'score': 0.801301, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, {'sentence_id': 1, 'text': 'Show the reporter too', 'tones': []}]}"
soyab Khan,I hate modi. Vo chutiya ye sb karta hi q hai.. Vo machees fek ke bhaag jata hai.harami,"{'document_tone': {'tones': []}, 'sentences_tone': [{'sentence_id': 0, 'text': 'I hate modi.', 'tones': [{'score': 0.770332, 'tone_id': 'anger', 'tone_name': 'Anger'}]}, {'sentence_id': 1, 'text': 'Vo chutiya ye sb karta hi q hai.. Vo machees fek ke bhaag jata hai.harami', 'tones': []}]}"
AnilKumarPhoenixKMMJ,From first day we have seen that the Issue is totally different and the agenda was hacked by so called leftist and groups from abroad to destroy our country.. The people have given a negative impact rather to all country people of India. Is maha pharjee chanel ke to kehne hi kya! Why you are not able to get the people behind this activity if you think you  know what is correct or not. Sikh Brothers ke prati mera samman kam hi hua hai isse. SIkhs were from Hindu religion only and take sikhism to protect the country. But i think they forget Gurunanak Ji&#39;s ideology completely. Shame Shame Bro!<br>Jai Hind.,"{'document_tone': {'tones': [{'score': 0.52961, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.531436, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'From first day we have seen that the Issue is totally different and the agenda was hacked by so called leftist and groups from abroad to destroy our country..', 'tones': []}, {'sentence_id': 1, 'text': 'The people have given a negative impact rather to all country people of India.', 'tones': []}, {'sentence_id': 2, 'text': 'Is maha pharjee chanel ke to kehne hi kya!', 'tones': []}, {'sentence_id': 3, 'text': 'Why you are not able to get the people behind this activity if you think you  know what is correct or not.', 'tones': [{'score': 0.830561, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 4, 'text': 'Sikh Brothers ke prati mera samman kam hi hua hai isse.', 'tones': []}, {'sentence_id': 5, 'text': 'SIkhs were from Hindu religion only and take sikhism to protect the country.', 'tones': [{'score': 0.73677, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 6, 'text': 'But i think they forget Gurunanak Ji&#39;s ideology completely.', 'tones': [{'score': 0.526016, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.855313, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.87766, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 7, 'text': 'Shame Shame Bro!<br>Jai Hind.', 'tones': [{'score': 0.545936, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}]}"
Naughty Ladka,Really appreciating this !! Kisaan ekta zindabaad and they dont dis-respect our national flag !,"{'document_tone': {'tones': [{'score': 0.569843, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.821913, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
S Mohan,OMG Sikh Republic of India ðŸ˜‚ðŸ˜‚,{'document_tone': {'tones': []}}
S Mohan,Now NDTV will be happy,"{'document_tone': {'tones': [{'score': 0.9939, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
GamingZone141,&quot;Justice will not be served untill those who are unaffected are as outraged as those who are.&quot;<br>- Benjamin Franklin,"{'document_tone': {'tones': [{'score': 0.553109, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
prakash jha,Bc religious flag ka lal kilaey m koi kaam ni h,{'document_tone': {'tones': []}}
Sapinder Kaur,I am a Sikh and as a Sikh I can proudly say that this act is utterly shameful no religion or flag is above Our tricolour and it is my humble request to all my indians that not to hate all the Sikhs just some Sikhs who did this shameful act.,{'document_tone': {'tones': []}}
Tamal Chakraborty,Ye protester bolna band karo ye terrorists hai. Oh NDTV khud v ohi hai.,"{'document_tone': {'tones': []}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Ye protester bolna band karo ye terrorists hai.', 'tones': []}, {'sentence_id': 1, 'text': 'Oh NDTV khud v ohi hai.', 'tones': []}]}"
Krishna Tiwari,Legends still thinks these are farmersðŸ˜‚,"{'document_tone': {'tones': [{'score': 0.572419, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.842108, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
nikit sharma,This is a Khalistan movement. And thatâ€™s a Khalistan flag.,"{'document_tone': {'tones': []}, 'sentences_tone': [{'sentence_id': 0, 'text': 'This is a Khalistan movement.', 'tones': [{'score': 0.611355, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, {'sentence_id': 1, 'text': 'And thatâ€™s a Khalistan flag.', 'tones': []}]}"
nikit sharma,Sikhs have again showed their true intentions.,"{'document_tone': {'tones': [{'score': 0.751512, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.801827, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
Ajit Ray,Annadatta Gaddar gang ko joota maarke NSA me ander koro.,{'document_tone': {'tones': []}}
marvel future fight,Aesa karne se jannat milegi aesa to nahi sikhaya na kyoki vaha aese log jyada hae,{'document_tone': {'tones': []}}
marvel future fight,Congratulations lebelars,"{'document_tone': {'tones': [{'score': 0.909271, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
Krypt0n1an1,"It&#39;s so sad that our fellow countrymen don&#39;t even know what that flag stands for, it&#39;s stands for justice and an effort against tyranny..they wouldn&#39;t have done this if the government just allowed them to protest in the city somewhere or let them be part of the parade","{'document_tone': {'tones': [{'score': 0.63636, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.606247, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
enlightened soul,NDTV à¤¤à¥�à¤® à¤œà¥ˆà¤¸à¥‡ à¤¨à¤ªà¥�à¤‚à¤¸à¤•à¥‹ à¤•à¥€ à¤¸à¤‚à¤¤à¤¾à¤¨à¥‹à¤‚ à¤•à¥€ à¤µà¤œà¤¹ à¤¸à¥‡ à¤œà¥‹ à¤•à¤¿ à¤­à¤¡à¤µà¥‡ à¤¹à¥ˆà¤‚ ðŸ˜ à¤¦à¤²à¥�à¤²à¥‡ à¤¹à¥ˆà¤‚ ðŸ˜ à¤”à¤° à¤šà¥€à¤¨ à¤”à¤° à¤ªà¤¾à¤•à¤¿à¤¸à¥�à¤¤à¤¾à¤¨ à¤•à¥€ à¤­à¥€à¤– à¤ªà¤° à¤ªà¤²à¤¤à¥‡ à¤¹à¥ˆà¤‚ à¤¯à¤¹ à¤•à¤¾à¤°à¤¨à¤¾à¤®à¤¾ à¤¹à¥�à¤† à¤¹à¥ˆà¥¤ à¤¤à¥�à¤®à¥�à¤¹à¤¾à¤°à¥‡ à¤…à¤‚à¤—à¥�à¤°à¥‡à¤œà¥€ à¤®à¥‡à¤‚ à¤­à¥Œà¤‚à¤•à¤¨à¥‡ à¤¸à¥‡ à¤¯à¤¹ à¤¸à¤¤à¥�à¤¯ à¤¨à¤¹à¥€à¤‚ à¤¬à¤¦à¤² à¤œà¤¾à¤�à¤—à¤¾ à¤•à¤¿ à¤•à¤¿ à¤•à¤² à¤•à¤¿à¤¤à¤¨à¥€ à¤¬à¥‡à¤°à¤¹à¤®à¥€ à¤¸à¥‡ à¤ªà¥�à¤²à¤¿à¤¸ à¤ªà¤° à¤¨à¤‚à¤—à¥€ à¤¤à¤²à¤µà¤¾à¤° à¤Šà¤ªà¤° à¤¸à¥‡ à¤”à¤° à¤¹à¤¥à¤¿à¤¯à¤¾à¤°à¥‹à¤‚ à¤¸à¥‡ à¤¹à¤®à¤²à¤¾ à¤¹à¥�à¤†à¥¤ à¤¤à¤¿à¤°à¤‚à¤—à¤¾ à¤•à¤¿à¤¸à¥€ à¤­à¥€ à¤•à¤¿à¤¸à¤¾à¤¨ à¤”à¤° à¤¹à¤° à¤�à¤• à¤­à¤¾à¤°à¤¤à¤µà¤¾à¤¸à¥€ à¤•à¥‡ à¤²à¤¿à¤� à¤¸à¤°à¥�à¤µà¥‹à¤ªà¤°à¤¿ à¤¹à¥ˆ à¤§à¤°à¥�à¤® à¤¸à¥‡ à¤•à¤¹à¥€à¤‚-à¤•à¤¹à¥€à¤‚ à¤Šà¤ªà¤° à¤¹à¥ˆà¥¤ à¤œà¥‹ à¤¨à¤ªà¥�à¤‚à¤¸à¤• à¤¤à¤¿à¤°à¤‚à¤—à¤¾ à¤¹à¤Ÿà¤¾ à¤•à¤° à¤¯à¤¹ à¤–à¤¾à¤²à¤¿à¤¸à¥�à¤¤à¤¾à¤¨à¥€ à¤�à¤‚à¤¡à¥‡ à¤²à¤¹à¤°à¤¾ à¤°à¤¹à¥‡ à¤¹à¥ˆà¤‚ à¤¯à¤¹ à¤•à¤¿à¤¸à¥€ à¤­à¥€ à¤†à¤¤à¤‚à¤•à¤µà¤¾à¤¦à¥€ à¤¸à¥‡ à¤•à¤® à¤¨à¤¹à¥€à¤‚ à¤¹à¥ˆ à¤”à¤° à¤‡à¤¨à¥�à¤¹à¥‡à¤‚ à¤¸à¤°à¥‡à¤†à¤® à¤—à¥‹à¤²à¥€ à¤¸à¥‡ à¤‰à¤¡à¤¼à¤¾ à¤¦à¥‡à¤¨à¤¾ à¤šà¤¾à¤¹à¤¿à¤� ðŸ˜ ðŸ˜ ,{'document_tone': {'tones': []}}
Vid ya,Any media who dont love its motherland and are paid by enemies are rejoicing..but karma will take care ..,"{'document_tone': {'tones': [{'score': 0.525007, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
CactusJack,Government ko kuch dikh nahi raha haikya,{'document_tone': {'tones': []}}
