message,created_time,positive,negative,neutral,compound
"Recently burkha dutt interviewed him, he said he supports jarnail singh Bindelwal ... supports it ... what to say ...",2020-11-30T14:17:30+0000,0.217,0.0,0.783,0.6124
It's a shortcut to fame at the cost of nation's interest. Swara bhaskar did it with NRC n this actor is trying with farmers. Y doesn't the govt arrest n jail such obviously irrelevant characters in an agitation .,2020-11-30T14:21:27+0000,0.177,0.045,0.779,0.7128
Apni acting chamka raha hai waise yeh hai kaun never seen him in any punjabi movie ,2020-11-30T14:23:31+0000,0.0,0.0,1.0,0.0
Where is carona now?  Is it on leave?,2020-11-30T14:24:18+0000,0.0,0.182,0.818,-0.1431
"à´°à´¾à´œàµ�à´¯à´¤àµ�à´¤à´¿à´¨àµ�à´±àµ† à´…à´¨àµ�à´¨à´§à´¾à´¤à´¾à´•àµ�à´•à´³à´¾à´¯ à´•à´°àµ�â€�à´·à´•à´°àµ�â€� ""à´®à´£àµ�à´¡à´¿"" à´¸à´®àµ�à´ªàµ�à´°à´¦à´¾à´¯à´‚ à´®àµ‚à´²à´‚ à´•à´Ÿà´•àµ�à´•àµ†à´£à´¿à´¯à´¿à´²àµ�â€� à´ªàµ†à´Ÿàµ�à´®àµ�à´ªàµ‹à´³àµ�â€� à´‡à´Ÿà´¨à´¿à´²à´•àµ�à´•à´¾à´°àµ�à´Ÿàµ† à´šàµ‚à´·à´£à´‚ à´‡à´²àµ�à´²à´¾à´¤àµ† à´•à´°àµ�â€�à´·à´•à´°àµ�à´Ÿàµ† à´‰à´²àµ�â€�à´ªàµ�à´ªà´¨à´™àµ�à´™à´³àµ�â€�à´•àµ�à´•àµ� à´¨àµ�à´¯à´¾à´¯à´®à´¾à´¯ à´µà´¿à´² à´²à´­à´¿à´•àµ�à´•àµ�à´¨àµ�à´¨ ""à´•à´°àµ�â€�à´·à´• à´¬à´¿à´²àµ�à´²àµ�"" à´ªà´¾à´¸à´¾à´•àµ�à´•à´¿à´¯ à´•àµ‡à´¨àµ�à´¦àµ�à´° à´¸à´°àµ�â€�à´•àµ�à´•à´¾à´°à´¿à´¨àµ� à´…à´­à´¿à´¨à´¨àµ�à´¦à´¨à´™àµ�à´™à´³àµ�â€�... #Support_Farmers_Bill",2020-11-30T14:24:37+0000,0.0,0.0,1.0,0.0
"à¦¦à§Ÿà¦¾ à¦•à¦°à§‡ à¦¯à§‡ à¦¬à¦¾ à¦¯à¦¾à¦°à¦¾ à¦•à§ƒà¦·à¦¿à¦•à¦¾à¦°à§�à¦¯à§‡à¦° à¦‰à§Žà¦ªà¦¾à¦¦à¦¨ à¦–à§‡à§Ÿà§‡ à¦œà§€à¦¬à¦¨à¦§à¦¾à¦°à¦¨ à¦•à¦°à§‡à¦¨ à¦¸à§‡ à¦¬à¦¾ à¦¤à¦¾à¦�à¦°à¦¾ à¦•à§ƒà¦·à¦•à¦¦à§‡à¦° à¦¦à¦¾à¦¬à§€à¦•à§‡ à¦¸à¦®à¦°à§�à¦¥à¦¨ à¦•à¦°à§�à¦¨, à¦†à¦° à¦¯à§‡ à¦¬à¦¾ à¦¯à¦¾à¦°à¦¾ à¦—à§‹à¦¬à¦° à¦—à§‹à¦®à§‚à¦¤à§�à¦° à¦–à§‡à§Ÿà§‡ à¦¬à§‡à¦�à¦šà§‡ à¦†à¦›à§‡à¦¨, à¦¤à¦¾à¦�à¦°à¦¾ à¦•à§ƒà¦·à¦• à¦®à¦¾à¦°à¦¾à¦° à¦†à¦‡à¦¨ à¦¸à¦®à¦°à§�à¦¥à¦¨ à¦•à¦°à§‡ à¦†à¦¨à§�à¦¦à§‹à¦²à¦¨à§‡à¦° à¦¬à¦¿à¦°à§‹à¦§à¦¿à¦¤à¦¾ à¦•à¦°à§�à¦¨à¥¤",2020-11-30T14:26:02+0000,0.0,0.0,1.0,0.0
 Best best veer Deepsidhu God bless you #FarmersProtest #kisaanmajdoorektazindabad #KisaanVirodhiNarendraModi #kisaanmajdoorektazindabaad ,2020-11-30T14:26:12+0000,0.655,0.0,0.345,0.9231
Shaeen Bagh 2 in making. Sanjog nahi prayog.,2020-11-30T14:26:49+0000,0.0,0.0,1.0,0.0
Now a days suddenly actor becomes farmer.,2020-11-30T14:27:11+0000,0.0,0.0,1.0,0.0
New drama.... New Work for opition party..modi provides them work,2020-11-30T14:28:12+0000,0.0,0.0,1.0,0.0
A Khalistani propaganda activist whom even #BarkhaDutt could not tame finally another sell out media Anti #IndiaToday could tutor well ðŸ˜‚   https://www.facebook.com/100000975284323/posts/4793632397345889/?d=n,2020-11-30T14:30:05+0000,0.083,0.169,0.748,-0.296
He doesnâ€™t know anything! He is just utilising situation to get fame and name. There are many farmers who support this bill and why donâ€™t you ask them questions? Here Akalidal and Congress is using illiterate farmers for their benefits! No South Indian farmers are opposing the bill. ,2020-11-30T14:30:40+0000,0.149,0.037,0.814,0.7639
"India Today why are you asking only farmers as what they fear for, why you arenâ€™t asking government as if they are in favour of keeping MSP system then whatâ€™s stopping them to give it written... Ask the government why these bills are snatching legal rights of farmer to go to court in case of fraud ? Ask the government as why commodities like onion potato were removed from essential commodities ? Ask the government what record they will have about purchaser whoâ€™s just purchasing on basis of pan card ? In case Adaniâ€™s Ambaniâ€™s commit fraud how come a SDM can deliver justice under arm twisting of these corporates ?  Have you got what it takes to question the government ?",2020-11-30T14:33:30+0000,0.09,0.083,0.826,-0.4329
#save farmer,2020-11-30T14:35:06+0000,0.762,0.0,0.238,0.4939
@ india today- check his background before titling him as voice of farmers. But you cant...,2020-11-30T14:36:48+0000,0.0,0.0,1.0,0.0
His argument has nothing to do with the 'Farm bill' but rather with the possibility that it can go wrong.  But what innovation doesn't posses that threat? Farmers woes have been surfacing since always in India so why not divert to a new road,2020-11-30T14:37:49+0000,0.127,0.175,0.699,-0.3991
#supportfarmerschallenge #FarmersProtest #farmerlifematters,2020-11-30T14:39:49+0000,0.0,0.0,1.0,0.0
ðŸ˜¹,2020-11-30T14:40:36+0000,0.0,0.0,1.0,0.0
Indian media is a joke. 142  nd in World press freedom index.,2020-11-30T14:48:01+0000,0.39,0.0,0.61,0.7506
https://www.opindia.com/2020/11/khalistan-supporter-punjabi-actor-deep-sidhu-is-pretending-to-a-farmer/,2020-11-30T14:59:38+0000,0.0,0.0,1.0,0.0
https://www.opindia.com/2020/11/khalistan-slogans-indira-gandhi-assassination-pro-imran-khan-farmer-protest-congress-game/,2020-11-30T14:59:47+0000,0.0,0.0,1.0,0.0
"Kyun 70 saal to desh da kissan garib ha? Kyun ki har mandi de 20-25 artiya de thale lagge hunde ne, puri jindgi ihna de baas aartiyaan di parchi te langh jandi ha.. huun je kuch apna karan da moka mill riya ha par ta vi kuch karna nahi chahunde.. actually gulami khoon ch aa chuki ha aartiya de thale lagan di. Eh koi kissan jathe bandiya nahi, bass aartiyaan de awaaz ha.",2020-11-30T15:00:08+0000,0.063,0.0,0.937,0.5859
Why don't you talk about the atrocities being perpetrated in Indian acupid Kashmir and Palestine?,2020-11-30T15:09:19+0000,0.0,0.0,1.0,0.0
India today is paid media do not believe,2020-11-30T15:10:23+0000,0.0,0.0,1.0,0.0
à¤¸à¤¾à¤°à¥‡ à¤«à¥ˆà¤•à¥�à¤Ÿà¥�à¤°à¥€ à¤®à¤¾à¤²à¤¿à¤• à¤”à¤° #à¤®à¥›à¤¦à¥‚à¤° à¤­à¥€ à¤¸à¤¡à¤•à¥‹à¤‚ à¤ªà¥‡ à¤‰à¤¤à¤°à¥‹ à¤”à¤° msp à¤®à¤¾à¤‚à¤—à¥‹à¥¤ à¤¸à¤¾à¤°à¥‡ à¤‰à¤¤à¥�à¤ªà¤¾à¤¦ 50% à¤®à¥�à¤¨à¤¾à¤«à¥‡ à¤ªà¥‡ à¤¬à¤¿à¤•à¤¨à¥‡ à¤šà¤¾à¤¹à¤¿à¤¯à¥‡ à¤–à¤¾à¤²à¥€ #à¤…à¤¨à¤¾à¤œ à¤•à¥�à¤¯à¥�à¤‚ ? à¤–à¤¾à¤²à¥€ à¤•à¤¿à¤¸à¤¾à¤¨ à¤•à¥‡ à¤¬à¤¿à¤² à¤•à¤°à¥�à¤œà¥‡ à¤•à¥�à¤¯à¥�à¤‚ à¤®à¤¾à¤« à¤¹à¥‹ ? à¤•à¤¿à¤¸à¤¾à¤¨ à¤¤à¥‹ à¤Ÿà¥ˆà¤•à¥�à¤¸ à¤­à¥€ à¤¨à¤¹à¥€ à¤¦à¥‡à¤¤à¤¾ à¥¤ à¤¹à¤® à¤•à¥�à¤¯à¥�à¤‚ à¤¦à¥‡? #à¤¸à¥œà¤• à¤•à¥�à¤¯à¥�à¤‚ à¤œà¤¾à¤® à¤•à¤° à¤°à¤¹à¥‡ à¤¹à¥‹ ? à¤…à¤ªà¤¨à¤¾ à¤—à¥‡à¤¹à¥‚à¤‚ à¤•à¤¾ à¤–à¥‡à¤¤ à¤¬à¤¿à¤¨à¤¾ #à¤¬à¥�à¤†à¤ˆ à¤›à¥‹à¤¡à¤•à¤° à¤•à¥�à¤¯à¥�à¤‚ à¤¨à¤¹à¥€ à¤†à¤¯à¥‡? à¤•à¥�à¤¯à¥�à¤‚ 3 à¤®à¤¹à¥€à¤¨à¥‡ à¤¸à¥‡ msp à¤ªà¥‡ à¤¸à¤°à¤•à¤¾à¤° à¤•à¥‹ à¤§à¤¾à¤¨ à¤¬à¥‡à¤šà¥€ à¤¤à¥�à¤®à¤¨à¥‡? à¤¤à¥�à¤®à¥�à¤¹à¤¾à¤°à¤¾ à¤•à¥�à¤¯à¤¾ à¤¨à¥�à¤•à¥�à¤¸à¤¾à¤¨ à¤¹à¥�à¤† ?? à¤¯à¤¹à¤¾à¤‚ à¤®à¥�à¤«à¥�à¤¤ à¤•à¤¾ à¤²à¤‚à¤—à¤° à¤”à¤° picnic à¤®à¤¨à¤¾à¤¨à¥‡ à¤•à¥�à¤¯à¥�à¤‚ à¤†à¤¯à¥‡ à¤¹à¥‹ ? à¤•à¥‹à¤ˆ à¤¤à¥�à¤®à¤®à¥‡  à¤¸à¥‡ à¤†à¤®à¤°à¤£ à¤…à¤¨à¤¶à¤¨ à¤ªà¥‡ à¤•à¥�à¤¯à¥�à¤‚ à¤¨à¤¹à¥€ à¤¬à¥ˆà¤ à¤¾ à¤…à¤¬ à¤¤à¤•? à¤ªà¤ªà¥�à¤ªà¥‚ à¤•à¥‹ à¤¬à¥‹à¤²à¥‹ à¤…à¤ªà¤¨à¥€ à¤¬à¤¹à¤¨ à¤•à¥‡ à¤¸à¤¾à¤¥ à¤¬à¥ˆà¤ à¥‡ à¤¸à¤¿à¤¨à¥�à¤˜à¥�  à¤¬à¥Œà¤°à¥�à¤¡à¤° à¤ªà¥‡ #à¤†à¤®à¤°à¤£ à¤…à¤¨à¤¶à¤¨ à¤ªà¥‡à¥¤ à¤…à¤¨à¤¾à¤œ à¤«à¤² à¤¸à¤¬à¥�à¥›à¥€ à¤®à¥�à¤«à¥�à¤¤ à¤®à¥‡à¤‚ à¤¨à¤¹à¥€ à¤²à¥‡à¤¤à¥‡ à¤¹à¤® à¥¤ à¤ªà¥ˆà¤¸à¥‡ à¤¦à¥‡à¤•à¤° à¤²à¥‡à¤¤à¥‡ à¤¹à¥ˆà¤‚ à¥¤ à¤Ÿà¥ˆà¤•à¥�à¤¸ à¤¦à¥‡à¤¤à¥‡ à¤¹à¥ˆà¤‚ à¤¤à¥‹ à¤¤à¥�à¤®à¥�à¤¹à¥‡ msp à¤®à¤¿à¤²à¤¤à¥€ à¤¹à¥ˆ urea à¤ªà¥‡ subsidy à¤”à¤° à¤®à¥�à¤«à¥�à¤¤ à¤¬à¤¿à¤œà¤²à¥€ à¤”à¤° à¤•à¤°à¥�à¥› à¤®à¤¾à¤«à¥€ à¤®à¤¿à¤²à¤¤à¥€ à¤¹à¥ˆà¥¤ #à¤�à¤¹à¤¸à¤¾à¤¨ à¤®à¤¤ thoko à¤¨à¤¾ à¤¹à¤®à¤•à¥‹ à¤¤à¤‚à¤— à¤•à¤°à¥‹,2020-11-30T15:16:19+0000,0.0,0.0,1.0,0.0
All fame is waste. It's like ek ganta ka sultan.,2020-11-30T15:23:54+0000,0.355,0.184,0.461,0.3818
"Lauda ka revolution hai, apni dukane chale rahe bas, aam aadmi ko paresan karna hai. Pure desh ke kisan msp hatana chahta hai aur inko rajneeti chamkani hai. https://www.google.com/amp/s/www.thehindubusinessline.com/economy/agri-business/why-section-of-farmers-in-maharashtra-want-to-get-rid-of-msp/article32860865.ece/amp/",2020-11-30T15:37:34+0000,0.0,0.0,1.0,0.0
Lol... Jo Maan Mein aya bak diya...,2020-11-30T15:40:41+0000,0.318,0.0,0.682,0.4215
Bloody rubbish,2020-11-30T15:41:46+0000,0.0,0.744,0.256,-0.4404
They are going to make khalistan .,2020-11-30T15:43:25+0000,0.0,0.0,1.0,0.0
"No minority is safe in India, especially since the Narendra Modi government came to power",2020-11-30T15:48:12+0000,0.16,0.122,0.718,0.1779
"Me no support. I am also Farmer, but small.",2020-11-30T15:58:25+0000,0.0,0.169,0.831,-0.1603
"à´•àµ¼à´·à´• à´†à´¤àµ�à´®à´¹à´¤àµ�à´¯à´•àµ¾ à´•àµ�à´±à´žàµ�à´žà´¾à´²àµ‹ à´Žà´¨àµ�à´¨ à´µàµ‡à´µà´²à´¾à´¤à´¿, à´‡à´µàµ¼à´•àµ�à´•àµ� à´µà´²àµ�à´²à´¾à´¤àµ†à´¯àµ�à´£àµ�à´Ÿàµ�.",2020-11-30T16:01:53+0000,0.0,0.0,1.0,0.0
The problem is not the new bill as its being brought in for the good of farmers. The issue has been politically motivated,2020-11-30T16:33:34+0000,0.206,0.094,0.699,0.4939
Why not you are showing that Delhi government already passed the kisan Bill,2020-11-30T16:40:04+0000,0.0,0.0,1.0,0.0
Sala khalistani hai ye...,2020-11-30T16:50:36+0000,0.0,0.0,1.0,0.0
India today giving stage to khalistani.....,2020-11-30T16:50:53+0000,0.324,0.0,0.676,0.34
Baseless arguments,2020-11-30T16:51:50+0000,0.0,0.73,0.27,-0.4019
Isss bsdk ki gaav faaad denge bkl ki... ,2020-11-30T16:52:59+0000,0.0,0.0,1.0,0.0
He completely not able to answer the questions ðŸ¤£ðŸ¤£,2020-11-30T17:22:40+0000,0.0,0.0,1.0,0.0
Farmers do understand that these new bills are not in their favor thatâ€™s why they have been protesting for months. Why government wants to do it if farmers donâ€™t want it? ,2020-11-30T18:58:04+0000,0.034,0.132,0.834,-0.5801
https://youtu.be/7lfzeIJkTtE   Sir pls ik waar a video jrur dekhyo a changes ho skde a kisan bill ch..,2020-11-30T19:02:47+0000,0.075,0.0,0.925,0.0772
He is absolutely right ,2020-11-30T21:25:53+0000,0.0,0.0,1.0,0.0
Rubbish motives,2020-11-30T23:36:04+0000,0.0,0.0,1.0,0.0
In the name of farmers agitation millions of dollars have been collected in foreign countries for the Khalistani's anti India program. Just a warning.,2020-12-01T00:03:13+0000,0.0,0.242,0.758,-0.6908
Thanks for raising the voice of farmers,2020-12-01T01:39:52+0000,0.326,0.0,0.674,0.4404
Modi ne bejia ehnu bich reh k mahol khrab karan layi c modi gives this job to deep shidhu,2020-12-01T02:15:51+0000,0.0,0.0,1.0,0.0
"To label someone.. khalistani, anti-national, Jihadi,Tukde Tukde gang,gupkar gang had been the only excuse to hide the real issue and True facts..... The issues are there and you need to adress them...... politically and ofcourse with a proper sense of tolerance...",2020-12-01T02:53:19+0000,0.14,0.038,0.822,0.5574
"à¤—à¥�à¤Ÿà¤–à¤¾ à¤–à¤¾à¤¨à¥‡ à¤µà¤¾à¤²à¥‹à¤‚ à¤¸à¥‡ à¤¨à¤¿à¤µà¥‡à¤¦à¤¨ à¤¹à¥ˆ  à¤‡à¤§à¤°-à¤‰à¤§à¤° à¤¨ à¤¥à¥‚à¤•à¥‡  à¤œà¥‹ à¤•à¤¿à¤¸à¤¾à¤¨ à¤†à¤‚à¤¦à¥‹à¤²à¤¨ à¤•à¤¾ à¤µà¤¿à¤°à¥‹à¤§ à¤•à¤° à¤°à¤¹à¥‡à¤‚ à¤¹à¥ˆ ,à¤‰à¤¨à¤•à¥‡ à¤®à¥�à¤‚à¤¹ à¤ªà¤° à¤¥à¥‚à¤•à¥‡",2020-12-01T09:02:19+0000,0.0,0.0,1.0,0.0
https://www.facebook.com/OfficialBaljinderKaur/videos/382600429614352/,2020-12-01T09:42:15+0000,0.0,0.0,1.0,0.0
He is just bluffing ,2020-12-01T09:51:00+0000,0.0,0.0,1.0,0.0
When peopleâ€™s basic rights to exist are denied then people will find other ways to get attention ,2020-12-01T12:06:25+0000,0.0,0.139,0.861,-0.4404
What has geo-political got to do with farm law? Oops....these woke liberalsðŸ¤¦â€�â™€ï¸�,2020-12-01T14:38:05+0000,0.0,0.0,1.0,0.0
"à¤ªà¥�à¤°à¤¾à¤¨à¤¾ à¤¬à¤¿à¤² à¤…à¤­à¥€ à¤¬à¤¾à¤•à¥€ à¤¹à¥ˆà¥¤ à¤…à¤—à¤° à¤•à¤¿à¤¸à¥€ à¤•à¤¿à¤¸à¤¾à¤¨ à¤•à¥‹ à¤‡à¤¸à¤•à¤¾ à¤ªà¤¾à¤²à¤¨ à¤•à¤°à¤¨à¤¾ à¤¹à¥ˆ, à¤¤à¥‹ à¤µà¤¹ à¤‡à¤¸à¤•à¤¾ à¤ªà¤¾à¤²à¤¨ à¤•à¤° à¤¸à¤•à¤¤à¤¾ à¤¹à¥ˆà¥¤ à¤¨à¤¯à¤¾ à¤¬à¤¿à¤² à¤•à¤¿à¤¸à¤¾à¤¨à¥‹à¤‚ à¤•à¥‹ à¤®à¤‚à¤¡à¤¿à¤¯à¥‹à¤‚ à¤¸à¤¹à¤¿à¤¤ à¤•à¤¿à¤¸à¥€ à¤•à¥‹ à¤­à¥€ à¤¬à¥‡à¤šà¤¨à¥‡ à¤•à¥€ à¤…à¤§à¤¿à¤• à¤¸à¥�à¤µà¤¤à¤‚à¤¤à¥�à¤°à¤¤à¤¾ à¤¦à¥‡à¤¤à¤¾ à¤¹à¥ˆà¥¤ à¤œà¤¹à¤¾à¤‚ à¤¤à¤• â€‹â€‹à¤‰à¤¸à¤•à¥‡ à¤…à¤§à¤¿à¤• à¤²à¤¾à¤­ à¤¹à¥ˆà¤‚à¥¤ à¤¤à¥‹ à¤•à¥�à¤¯à¤¾ à¤¯à¥‡ à¤ªà¥�à¤°à¤¦à¤°à¥�à¤¶à¤¨à¤•à¤¾à¤°à¥€ à¤•à¤¿à¤¸à¤¾à¤¨ à¤²à¤¾à¤­ à¤•à¥€ à¤¤à¤²à¤¾à¤¶ à¤®à¥‡à¤‚ à¤¨à¤¹à¥€à¤‚ à¤¹à¥ˆà¤‚ ?? à¤¯à¤¦à¤¿ à¤¨à¤¹à¥€à¤‚, à¤¤à¥‹ à¤µà¥‡ à¤ªà¥�à¤°à¤¾à¤¨à¥‡ à¤¬à¤¿à¤² à¤•à¤¾ à¤ªà¤¾à¤²à¤¨ à¤•à¤° à¤¸à¤•à¤¤à¥‡ à¤¹à¥ˆà¤‚à¥¤ à¤ªà¥�à¤°à¤¾à¤¨à¤¾ à¤¬à¤¿à¤² à¤…à¤­à¥€ à¤­à¥€ à¤¹à¥ˆà¥¤ à¤¯à¤¹ à¤µà¤¿à¤°à¥‹à¤§ à¤¯à¤¾ à¤¤à¥‹ à¤°à¤¾à¤œà¤¨à¥€à¤¤à¤¿à¤• à¤¯à¤¾ à¤¸à¤šà¥�à¤šà¥€ à¤—à¤²à¤¤à¤«à¤¹à¤®à¥€ à¤¹à¥ˆ à¤¯à¤¾ à¤¬à¤¾à¤œà¤¾à¤° à¤®à¤¾à¤²à¤¿à¤•à¥‹à¤‚ à¤¦à¥�à¤µà¤¾à¤°à¤¾ à¤¯à¤¾ à¤•à¤¿à¤¸à¤¾à¤¨à¥‹à¤‚ à¤”à¤° à¤‰à¤ªà¤­à¥‹à¤•à¥�à¤¤à¤¾à¤“à¤‚ à¤•à¥‡ à¤¬à¥€à¤š à¤²à¥‹à¤—à¥‹à¤‚ à¤¦à¥�à¤µà¤¾à¤°à¤¾ à¤–à¥‹ à¤¦à¤¿à¤¯à¤¾ à¤—à¤¯à¤¾ à¤¹à¥ˆà¥¤",2020-12-01T15:47:24+0000,0.0,0.0,1.0,0.0
"Canadians & the world are worried that thousands of Sikhs' lives could be in danger by the Hindutva terrorists in the BJP government.  The repeat of 1984 #Sikh_massacre_Golden_Temple, Amritsar, by Hindu extremist India where 6000 Sikhs were killed in one day by the Indian terrorist Army.  https://imgflip.com/gif/4ogwpb ",2020-12-01T17:59:55+0000,0.0,0.31,0.69,-0.9633
https://www.facebook.com/1463246740619946/posts/2806820396262567/,2020-12-02T09:09:49+0000,0.0,0.0,1.0,0.0
"(à¦•à¦¥à¦¾à¦Ÿà¦¾ à¦¹à¦¾à¦²à¦•à¦¾ à¦­à¦¾à¦¬à§‡ à¦¨à§‡à¦¬à§‡à¦¨ à¦¨à¦¾à¥¤) à¦¦à§‡à¦–à¦¬à§‡à¦¨,à¦¤à§ƒà¦£à¦®à§‚à¦² à¦¯à§‡à¦¨ à¦•à§ƒà¦·à¦• à¦¦à§‡à¦° à¦¦à¦¿à¦²à§�à¦²à§€ à¦…à¦¬à¦°à§‹à¦§à§‡ à¦¢à§�à¦•à§‡ à¦¨à¦¾ à¦ªà¦¡à¦¼à§‡à¥¤ à¦•à§ƒà¦·à¦•à¦¦à§‡à¦° à¦¡à¦¾à¦² à¦†à¦Ÿà¦¾ à¦šà§�à¦°à¦¿ à¦•à¦°à§‡ à¦¨à§‡à¦¬à§‡à¥¤ à¦¤à§ƒà¦£à¦®à§‚à¦² à¦šà¦¾à¦² à¦šà§‹à¦°à¥¤",2020-12-02T16:56:18+0000,0.0,0.0,1.0,0.0
WTF! Are you serious? This new Farmers Bill is a FAILED BILL already been tried in modern first class countries like USA and Canada. How the F is this FAILED system of other countries gonna operate in such corrupted India lol ðŸ˜† ðŸ˜‚  I mean unless this was only designed for Ambani adani to benefit ðŸ˜… ðŸ¤£,2020-12-02T18:27:36+0000,0.113,0.204,0.683,-0.8248
"Dear india Today team,   Its simple example like..     Government Schools and between private schools, the  government school everyone knew the situations.  and   Same like situation will be market yard in the  future , if these ordinance not cancel.  Everyone should understand. Its not only farmers War.  If any company purchased 100ton Wheet  less then MSP.  AND they stocks in the warehouse and after some time in the market they will sale on high price.  It will effect on consumers also. Because consumers pay high rates. The company will not sale to consumer direct. the company will sale to modern trade and modern trade will tag  his price on that product.  So everyone should understand , the situation will be massive in future,  the    poor people cannot survive.  Farmer in loss and consumer also in loss.  The Profit only companies will get,  who was purchased and stock's.  The all media staff also in  consumer que ,  please spread the truth ðŸ™�   Thanks",2020-12-03T20:05:46+0000,0.126,0.05,0.824,0.915
"In haryana mandis are the structure made by govt. This is a system to help poor farmers as well rich farmers.in mandis ardti (middle man) work for 2 percent of his commissions in exchange he provide us services that need to be done before selling cleaning, packing, payment from purchaser and place to store our crops before selling. Second thing families which are rely only on farmering need financial need for upto 4 to 6 months( crop cycle). If any financial crisis and any unplanned thing happen to them they easily Can take their help as they are their clients in exchange of verbel security of next crop. So exploitation of farmers are happening in states with weak mandi system and bad govt purchase. Prices of every product depends on demand and supply. As u seen several time prices of vegetables and grans. Govt need to assure minimum support price in writing and maximum selling price also which will be a strong step to stop corporate monopoly as they have sell products made of farming in balances price",2020-12-04T16:23:43+0000,0.119,0.085,0.797,0.7184
This is A WILFUL MISUNDERSTANDING.  The present 3 Bills are a necessity as international trade demands. Our P.M. had not signed the treaty last year in East Asian Nations meet and assured first to do the respective changes in the laws related to agricultural produces open for sale in any where in India or abroad.,2020-12-05T16:44:07+0000,0.087,0.058,0.855,0.1943
"Can somebody explain me what will happen to the inflation rate in India, when law of unlimited storage will be implemented practically? How the common man and poor section of the society who is living in the slums will feed themselves and their families? Pls tell me because I am uneducated and misguided.",2020-12-12T08:48:57+0000,0.023,0.062,0.915,-0.4871
Protect the hands that feed us ðŸ’— https://m.facebook.com/story.php?story_fbid=3472071102829756&id=100000807023094,2020-12-12T15:16:47+0000,0.271,0.0,0.729,0.3818
deep good,2021-06-14T23:11:19+0000,0.744,0.0,0.256,0.4404
